,session_id,age,tracing_item,pre_mse,post_mse,rotate,translate,scale,correct,condition
144,e11533158163200,5,this circle,0.04613,0.041036379,2.97E-05,0.0178589,0.009854674,0.54,S
145,e11533159385631,6,this square,0.0428244,0.033132523,0.000866682,0.0247058,0.014209449,0.486666667,S
146,e11533159385631,6,this shape,0.0634539,0.052386101,0.0125933,0.0622374,0.297825575,0.486666667,S
147,e11533159385631,6,this circle,0.0590632,0.053401198,0.015558,0.0234158,0.19267714,0.486666667,S
148,e11533159607984,5,this square,0.0414103,0.018584378,0.0638583,0.0775215,0.037876964,0.46,W
149,e11533159607984,5,this shape,0.0578873,0.032310784,0.0222312,0.0529839,0.071880817,0.46,W
150,e11533159607984,5,this circle,0.0503996,0.049481321,5.55E-05,0.00979904,0.008981347,0.46,W
151,e11533160231802,5,this square,0.0383124,0.012712921,0.0342681,0.101158,0.047246575,0.66,S
152,e11533160231802,5,this shape,0.0567899,0.035390116,0.00859047,0.0681162,0.115167856,0.66,S
153,e11533160231802,5,this circle,0.0612017,0.059936646,0.000567862,0.0263213,0.077404976,0.66,S
154,e11533161870392,5,this square,0.0457049,0.027884254,0.0270576,0.0701479,0.089789033,0.52,S
155,e11533161870392,5,this shape,0.0773036,0.07475812,0.000349543,0.0183403,0.043808579,0.52,S
156,e11533161870392,5,this circle,0.0630743,0.054094095,0.0603788,0.0944277,0.653768659,0.52,S
157,e11533162144527,5,this square,0.0375641,0.012931168,0.0208316,0.0402042,0.01168561,0.413333333,W
158,e11533162144527,5,this circle,0.0546382,0.048012096,0.004944,0.0329672,0.047801018,0.413333333,W
159,e11533164692587,4,this square,0.0546734,0.051536437,0.00516954,0.0367242,0.130236506,0.013333333,P
